2009,9,22,ACE,BUY,100
2009,9,29,ACE,SELL,100
2009,8,28,ACN,BUY,100
2009,9,4,ACN,SELL,100
2008,8,5,ADM,BUY,100
2008,8,12,ADM,SELL,100
2009,9,10,AEE,BUY,100
2009,9,17,AEE,SELL,100
2008,5,15,AEP,BUY,100
2008,5,22,AEP,SELL,100
2009,4,29,AET,BUY,100
2009,5,6,AET,SELL,100
2009,5,1,AGN,BUY,100
2009,5,8,AGN,SELL,100
2009,10,19,AIG,BUY,100
2009,10,26,AIG,SELL,100
2009,5,4,AMT,BUY,100
2009,5,11,AMT,SELL,100
2009,5,8,AMT,BUY,100
2009,5,15,AMT,SELL,100
2009,5,1,AON,BUY,100
2009,5,8,AON,SELL,100
2008,8,11,APD,BUY,100
2008,8,18,APD,SELL,100
2009,12,21,APD,BUY,100
2009,12,29,APD,SELL,100
2009,7,22,ATI,BUY,100
2009,7,29,ATI,SELL,100
2009,5,8,AZO,BUY,100
2009,5,15,AZO,SELL,100
2009,8,3,AZO,BUY,100
2009,8,10,AZO,SELL,100
2009,6,4,BAX,BUY,100
2009,6,11,BAX,SELL,100
2009,10,15,BAX,BUY,100
2009,10,22,BAX,SELL,100
2009,5,7,BBBY,BUY,100
2009,5,14,BBBY,SELL,100
2009,7,23,BCR,BUY,100
2009,7,30,BCR,SELL,100
2009,7,27,BCR,BUY,100
2009,8,3,BCR,SELL,100
2008,5,19,BDX,BUY,100
2008,5,27,BDX,SELL,100
2009,5,29,BF.B,BUY,100
2009,6,5,BF.B,SELL,100
2009,4,30,BLL,BUY,100
2009,5,7,BLL,SELL,100
2009,12,14,C,BUY,100
2009,12,21,C,SELL,100
2009,12,21,CAG,BUY,100
2009,12,29,CAG,SELL,100
2009,6,2,CAH,BUY,100
2009,6,9,CAH,SELL,100
2008,7,30,CBG,BUY,100
2008,8,6,CBG,SELL,100
2008,5,15,CELG,BUY,100
2008,5,22,CELG,SELL,100
2008,8,11,CF,BUY,100
2008,8,18,CF,SELL,100
2009,9,17,CLX,BUY,100
2009,9,24,CLX,SELL,100
2008,5,19,CPB,BUY,100
2008,5,27,CPB,SELL,100
2009,5,29,CTAS,BUY,100
2009,6,5,CTAS,SELL,100
2009,12,23,CTAS,BUY,100
2009,9,18,CVH,BUY,100
2009,9,25,CVH,SELL,100
2009,5,5,DF,BUY,100
2009,5,12,DF,SELL,100
2009,7,28,DGX,BUY,100
2009,8,4,DGX,SELL,100
2009,9,16,DGX,BUY,100
2009,9,23,DGX,SELL,100
2009,5,1,DLTR,BUY,100
2009,5,8,DLTR,SELL,100
2008,5,1,DNR,BUY,100
2008,5,8,DNR,SELL,100
2008,8,5,DNR,BUY,100
2008,8,12,DNR,SELL,100
2008,8,11,DO,BUY,100
2008,8,18,DO,SELL,100
2009,6,5,DTV,BUY,100
2009,6,12,DTV,SELL,100
2009,5,4,DV,BUY,100
2009,5,11,DV,SELL,100
2008,5,16,EA,BUY,100
2008,5,23,EA,SELL,100
2009,6,5,EFX,BUY,100
2009,6,12,EFX,SELL,100
2009,8,28,EW,BUY,100
2009,9,4,EW,SELL,100
2008,5,19,EXPE,BUY,100
2008,5,27,EXPE,SELL,100
2009,9,17,F,BUY,100
2009,9,24,F,SELL,100
2009,5,7,FDO,BUY,100
2009,5,14,FDO,SELL,100
2009,5,29,FLIR,BUY,100
2009,6,5,FLIR,SELL,100
2008,8,5,FLS,BUY,100
2008,8,12,FLS,SELL,100
2008,8,11,FSLR,BUY,100
2008,8,18,FSLR,SELL,100
2009,3,18,GIS,BUY,100
2009,3,25,GIS,SELL,100
2009,5,6,GME,BUY,100
2009,5,13,GME,SELL,100
2008,2,26,GOOG,BUY,100
2008,3,4,GOOG,SELL,100
2009,8,28,GT,BUY,100
2009,9,4,GT,SELL,100
2009,12,28,HAR,BUY,100
2009,8,25,HCBK,BUY,100
2009,9,1,HCBK,SELL,100
2009,3,24,HRB,BUY,100
2009,3,31,HRB,SELL,100
2009,1,6,ICE,BUY,100
2009,1,13,ICE,SELL,100
2008,5,1,IFF,BUY,100
2008,5,8,IFF,SELL,100
2009,5,1,IFF,BUY,100
2009,5,8,IFF,SELL,100
2009,8,21,INTU,BUY,100
2009,8,28,INTU,SELL,100
2008,5,2,IP,BUY,100
2008,5,9,IP,SELL,100
2008,4,18,ISRG,BUY,100
2008,4,25,ISRG,SELL,100
2008,5,1,JDSU,BUY,100
2008,5,8,JDSU,SELL,100
2009,4,30,JEC,BUY,100
2009,5,7,JEC,SELL,100
2009,11,17,JEC,BUY,100
2009,11,24,JEC,SELL,100
2009,8,3,K,BUY,100
2009,8,10,K,SELL,100
2009,7,21,KEY,BUY,100
2009,7,28,KEY,SELL,100
2008,4,28,KFT,BUY,100
2008,5,5,KFT,SELL,100
2008,4,25,KO,BUY,100
2008,5,2,KO,SELL,100
2009,9,15,KR,BUY,100
2009,9,22,KR,SELL,100
2009,5,1,KSS,BUY,100
2009,5,8,KSS,SELL,100
2009,9,16,LH,BUY,100
2009,9,23,LH,SELL,100
2008,4,21,LLY,BUY,100
2008,4,28,LLY,SELL,100
2009,7,21,LMT,BUY,100
2009,7,28,LMT,SELL,100
2009,7,24,LMT,BUY,100
2009,7,31,LMT,SELL,100
2009,4,30,MCD,BUY,100
2009,5,7,MCD,SELL,100
2009,7,23,MCD,BUY,100
2009,7,30,MCD,SELL,100
2008,4,28,MMM,BUY,100
2008,5,5,MMM,SELL,100
